RMS_1,MAV_1,WL_1,SSC_1,Label
0.5473717460654448,0.3497095601840395,0.6493029266651913,136,0
1.1774279094049829,1.1904317498230996,1.649402387544356,146,0
1.1240252126827188,1.0884263474395295,1.8192968130177563,146,0
1.0254180707337133,0.8927686441174213,1.6465337477900304,139,0
1.1240379237935079,1.0359961900586603,1.591131419493061,126,0
1.1164693931736236,1.123729811183796,1.3761351474675594,125,0
0.821392713105606,0.8055412444199772,0.7701668854121999,124,0
1.055045131692033,1.0654130432885813,1.0347864095128556,125,0
1.5878403262021736,1.6622826728471802,1.8873863158770314,134,0
1.63622880523951,1.7593466757711111,1.7193495101349785,139,0
1.556744128738388,1.7122732054153205,1.388934046969341,149,0
1.6715673827383637,1.7658819317314214,1.5673243758250959,138,0
1.782422631385487,1.8983935072869458,1.8203368752748954,135,0
1.6086293408682828,1.7118811029485437,1.5162929248648047,149,0
1.5995608042243052,1.6534896151629115,1.6624143287910762,151,0
1.4966197473577394,1.5334378946196114,2.059223294922751,146,0
1.463311990196567,1.5091915875791648,2.0700604831733043,138,0
1.4813539756046274,1.5621564423726495,1.7577403176405746,139,0
1.3251804169462866,1.5236110628742028,1.228981581020061,151,0
1.2990144271434567,1.5234083033588257,1.413461230503762,159,0
1.014740779300698,1.0092919707480352,0.50954053850998,151,1
0.9141827927005329,1.014509452899522,0.39062512958297524,151,1
0.7539142902764594,0.9700196822407963,0.26378084225400394,155,1
0.5674188916425456,0.7699309268579776,0.12889128614161763,159,1
0.3876547478695187,0.4856556562900764,0.072326117039331,166,1
0.10363374857071332,0.007193426395281822,-0.21091675998458356,124,1
-0.40193064182836336,-0.4899789021156027,-0.6302345124572457,71,1
-0.46115373793196274,-0.5915011961931896,-0.7786340313788799,56,1
-0.8016844200704913,-0.9497451961175748,-0.87545162250192,56,2
-0.8028272846933615,-0.96638191855802,-0.8816225867937761,49,2
-1.34312627115048,-1.1717410820100724,-1.0557504862387037,14,2
-1.344966666886981,-1.1726315312248785,-1.055932344108321,14,2
-1.1039089395554575,-1.1192909869463867,-0.9083098629630559,75,2
-1.1037971596657337,-1.1158503019975428,-0.9050412657549138,106,2
-1.3380407524004112,-1.1691660127420702,-1.0529761930896648,44,2
-1.3452135227527364,-1.1727301153275718,-1.0559406703563778,15,2
-1.106170484910961,-1.1274222896325878,-0.931453404771969,63,2
-1.0035822496939257,-1.0623651211562783,-0.7572502891886561,146,2
-1.1011877676137642,-1.1049175894475398,-0.8840627881787252,121,2
-1.3397734542065216,-1.1700405590555716,-1.0540022218112466,40,2
-1.3453597918899052,-1.1728234241075073,-1.0559692146429724,15,2
-1.3440635238702827,-1.1721618022120475,-1.0557426215188495,21,2
-1.0029222707468501,-1.0736566245490329,-0.7576160736944312,102,2
-1.002907868478596,-1.0728025008352093,-0.7568436243099629,112,2
-1.3419880212135704,-1.1712996281490342,-1.0550243291141408,31,2
-1.3453606917381702,-1.1728228926614266,-1.0559722218190855,15,2
-1.34255411017904,-1.1715006839164899,-1.0554778689672306,27,2
-1.1037999338705753,-1.1161876232045143,-0.9051247818757342,104,2
-1.1038135477584503,-1.1169598072045266,-0.9055116466434129,92,2
-1.3441637596973441,-1.1722817081355243,-1.0558455640162245,14,2
-1.3453927751705024,-1.1728457199711424,-1.055976974908518,15,2
-1.3454024561868343,-1.1728505333342676,-1.0559780496153308,15,2
-1.345402521279197,-1.1728505678065897,-1.0559780605116464,14,2
-1.3454025220358456,-1.172850568159677,-1.0559780606152733,15,2
-1.3454025219045302,-1.1728505680997214,-1.055978060598782,15,2
-1.345184234577858,-1.172749958184262,-1.0559559177081328,15,1
-1.3254040161424063,-1.1631934691531765,-1.0529989838265204,15,1
-0.7138201959628618,-0.7989924637812358,-0.6826236713076321,78,1
0.6289421168914574,0.40852305301640923,0.5000127810270686,138,1
1.1908293988150787,1.2924079662737988,1.006280773726916,139,1
1.1046257694037787,1.2052019027609893,1.1573493763673226,140,1
1.1406649506004156,1.1133504692982779,1.2843391582922792,132,1
1.1483322799314344,1.197018896959195,0.9939368225666851,122,1
0.9138403687428321,0.9817518281040392,1.0420877725814224,140,0
1.141124352240291,1.1679155921569346,1.436560144035473,148,0
1.4133415997819316,1.5718688939778107,1.670665444637465,149,0
1.5634606707558838,1.7026700203166638,1.6885221501088268,135,0
1.3035607720785936,1.284038980475545,1.4856952087000126,132,0
1.2099776587485784,1.255722753493111,1.7208891524919203,143,0
1.3546321141154876,1.553703135066397,1.693815556742473,142,0
1.3653452695646295,1.5585649968507227,1.1385174562769544,137,0
1.6546194482298213,1.8425060008554845,1.488221517158749,139,0
1.6100061050543084,1.7749481642382816,1.5845746075127898,136,0
1.20329360135266,1.2981407926668918,0.9362885875421052,132,0
1.3014961040781046,1.3684646589452134,1.1307888842828895,136,0
1.329360148353101,1.3693579735383943,1.0837951626293416,142,0
0.9642309127069794,0.8788337011458781,0.8901269010889314,135,0
1.0971626364171023,1.0721517582024964,1.1399045324720978,134,0
1.124456399346737,1.2799381226400324,0.856051460322773,132,0
0.896463571172851,1.0776170137205747,0.745197518709056,132,0
1.1134443221762147,1.1288371600478497,1.1964786666923768,130,0
1.3035306910891662,1.292332976684924,1.4311843929305907,131,0
0.9808852888302427,1.0382170611583392,0.9019456917235987,146,0
0.6740420616496843,0.684665724723105,0.6067392780483557,136,0
0.7188679401765676,0.7091134946696229,0.5083951474462013,134,0
1.064457102906379,1.0920882635759832,0.6518445633324493,138,0
1.1503155483848913,1.1538229739393837,1.2788209744025223,140,0
1.272639706674139,1.2770849917662448,1.4108322655431549,146,0
1.5711563891433074,1.6967478834147336,1.1002912627092882,136,0
1.4451645920367027,1.5740292591901959,1.2673031155159296,136,0
1.2127570662729776,1.3715268833793413,1.3216378555855297,141,0
1.1904960671910547,1.1773938156519235,0.9488183471046796,136,1
1.3544518325412955,1.1969543896066583,1.2286901908437353,135,1
0.6440767067800511,0.45302649753306623,0.32167007788371144,128,1
-0.1563338907720092,-0.17367159146097647,-0.4474684767716058,128,1
-0.5296253619531244,-0.67050101826692,-0.6408694522324639,84,1
-1.0263528402568112,-1.0481047584497873,-0.9944463506612773,26,1
-1.3441531388822556,-1.172217348306901,-1.055811075139632,14,1
-1.345361463873898,-1.1728252613625985,-1.0559698407148022,15,1
-1.1521757972398612,-1.1294634536085235,-0.9371749814414431,78,2
-1.3450456349613886,-1.1726682992650665,-1.0559322364409995,16,2
-1.3449276339416028,-1.172608010267228,-1.055917254453979,16,2
-1.0883956524660197,-1.1151140869581173,-0.8976711030302845,79,2
-1.0883193300793395,-1.1122042446131712,-0.8953850287523109,105,2
-1.339120451210792,-1.169676396814953,-1.0538180698448725,40,2
-1.3453541780235896,-1.1728256789026688,-1.0559699061622265,15,2
-1.3454019450475883,-1.1728502977888424,-1.0559779906420437,14,2
-1.3454008741400956,-1.1728498106591023,-1.0559778854194428,14,2
-1.345257019690912,-1.1727786597868024,-1.0559547548079593,15,2
-0.9678503503864236,-1.0937971203958397,-0.9458490226096132,57,2
-0.6791912613177089,-0.8863343670447953,-0.7699057285867199,94,2
-0.7964985983577725,-0.9644149492597774,-0.8813468878227209,49,2
-1.3434803262443678,-1.1719424255936732,-1.0557925489289235,15,2
-1.345389785164909,-1.17284407504415,-1.0559762373680042,16,2
-1.3454023976382512,-1.172850488492442,-1.0559780375669348,16,2
-1.3453979196977153,-1.17284833536221,-1.055977346260904,15,2
-1.3449497378982271,-1.1726148314346456,-1.0559114600278483,15,2
-1.103861920952164,-1.11838412720561,-0.9069723433477528,81,2
-1.103790608610001,-1.115249867607063,-0.9049437944893821,105,2
-1.1039605687659093,-1.1140735601838163,-0.901152009661863,116,2
-1.0041380980628056,-1.0640496870593819,-0.7537716763760378,153,2
-1.1041514760155728,-1.1192317751805885,-0.9068483306415204,76,2
-1.344936456886672,-1.172621845037408,-1.0559284304820638,15,2
-1.3453994747711608,-1.17284896240231,-1.0559775660115975,15,2
-1.3454024882999442,-1.1728505521559953,-1.0559780557755143,14,2
-1.3454025216948067,-1.1728505680016714,-1.055978060581797,14,2
-1.3454025220003365,-1.1728505681421815,-1.0559780606116826,13,2
-1.3453479722776986,-1.1728231557720064,-1.0559716390029825,15,1
-1.3381559052180245,-1.1695074117112847,-1.0552391429246637,14,1
-0.8869731541600482,-0.9563212939093718,-0.929578230317681,36,1
0.17908232398860258,-0.09742724852504024,-0.255599190916786,87,1
1.1968608854947487,0.9985639844415478,0.7583706492836161,136,1
1.4147602943001665,1.342599196945613,1.111733346354704,142,1
1.180218781794727,1.2712814844302058,1.458459696179884,144,1
1.0237065380434984,1.2464781687508533,1.008723930701036,147,1
1.148657616328461,1.3019840975908286,1.0026367527315996,148,0
1.269001263442,1.3650859924225207,0.8940852904476735,139,0
1.0824933839754503,1.1296319126887222,0.8452679960976782,143,0
1.0154039111435558,1.078778923058757,0.8316675774425716,139,0
0.7576165919696162,0.9388970146576943,0.3302378196014005,141,0
0.643889327191428,0.7048418519157289,0.18756245907072044,143,0
0.8983114068605962,0.8436449353053499,0.5360693736997505,137,0
0.8367478742329293,0.9074990376146065,0.5536489672055595,144,0
0.5443857770021282,0.6203242363718819,0.41019472982972993,147,0
0.7740842401217434,0.8776036575411224,0.6386706242654512,156,0
1.1658999813787836,1.2835889338078603,1.0947968285580973,152,0
1.3396134783333464,1.4662744237090135,1.4128024363594838,147,0
0.920581589860218,0.9163503027394156,0.6428074985129169,146,0
0.9048994357785448,0.7764400421327442,0.5416164103887958,146,0
1.1159786191537113,1.1286132626812617,0.9734732433737281,152,0
0.5534326151507039,0.5758780356998703,0.28493164587095826,136,0
0.1551231030932393,0.18224647792597568,-0.19249389308129067,138,0
0.5828957944256804,0.6606415518835258,0.0061964400513269645,149,0
0.6165483006926198,0.7510191721274864,0.07360940335044176,150,0
0.4441468472811655,0.472377619126354,0.19874073582730323,155,0
0.39952430663414734,0.43672923677165043,-0.03795666157085693,147,0
0.6028512431714953,0.7375874426743131,0.16524204935590073,150,0
0.6537614925911923,0.7018890318633557,0.49389687341626387,146,0
0.16606340442026815,-0.008073756933379356,0.03244522438143228,138,0
0.43391665507037575,0.2748257166892337,0.012791674935055097,139,0
0.8990805713601009,0.9185326523449393,0.2962339620827834,137,0
0.8672318660577584,0.8172202994665505,0.4234387863705664,130,0
0.6879751825390761,0.7036251439016339,0.39808381386207387,141,0
0.2315244469887423,0.25725002967189015,-0.018687658235537474,152,1
0.05707235216397722,-0.01778196459096922,-0.29422382598656127,131,1
0.09813756624013262,0.043830432114733774,-0.33976026843536455,123,1
-0.1378527291838355,-0.3743278771558956,-0.6161273633716271,69,1
-1.3148575439190116,-1.1571895857682386,-1.0509357515649296,15,1
-1.340665033359525,-1.1702987570254095,-1.0543108577435032,39,1
-1.1521182372198797,-1.1272531095944698,-0.9352381376161447,105,1
-1.1521756247338168,-1.1294420569733046,-0.9369572475872773,79,1
-0.970324255086162,-1.072435967611583,-0.9407334309228977,55,2
-0.7746411700382507,-0.966788096447521,-0.7785715971570725,91,2
-0.9051233942177274,-1.0294044782145657,-0.8597132181759246,78,2
-1.2518605881179414,-1.1365356825204782,-1.0287781042091515,40,2
-1.3450081977899768,-1.1726508362711434,-1.0559276740352441,15,2
-1.3453994417266912,-1.172848975141465,-1.055977526925635,15,2
-1.3454024851409523,-1.1728505507025246,-1.055978056121427,16,2
-1.3454023411952756,-1.172850484810624,-1.0559780423551066,17,2
-1.3453859184036132,-1.1728425289336335,-1.0559755171510607,15,2
-1.3438086706151025,-1.1720209631262446,-1.0557067823241448,22,2
-1.1038018122351456,-1.1163971946788267,-0.9051964420653082,100,2
-1.1038020138461655,-1.1164403429905718,-0.9053053462429502,96,2
-1.3438395800493161,-1.1720663545450665,-1.055782272571521,21,2
-1.3453915832822503,-1.1728447953536374,-1.0559761643311032,15,2
-1.3454023931836978,-1.172850508265222,-1.055978043624009,13,2
-1.345402517664412,-1.1728505655128172,-1.0559780600381619,13,2
-1.3454019773266994,-1.1728503185474914,-1.0559780028264507,14,2
-1.3453544685425827,-1.172826815125576,-1.0559703935989468,15,2
-1.340409491844492,-1.1702708887430862,-1.0552601207742083,17,2
-0.9038397143860402,-1.0310721144551869,-0.8591536938725038,71,2
-0.9038400486080961,-1.031135024789037,-0.8593054178349223,71,2
-1.3404392309499626,-1.170337950007133,-1.0553709295652405,17,2
-1.3453524107652695,-1.172814732431806,-1.0559664884013718,15,2
-1.3420412403203974,-1.1711065520008923,-1.055456855314753,15,2
-0.968112475577199,-1.0718048384078074,-0.9398309618572537,56,2
-0.9681128401710826,-1.0718708088984725,-0.939966257679761,55,2
-1.3420825011745512,-1.1711765205805076,-1.0555813510856726,15,2
